Img Name,direksiyon,serit_secim,hiz,Vites,gaz,fren,guc,el_freni
1,0.0,0,9.503697810941958e-07,1,-0.0,0.0,True,False
2,0.0,0,9.503697810941958e-07,1,-0.0,0.0,True,False
3,0.0,0,9.434467642677191e-07,1,-0.0,0.0,True,False
4,0.0,0,9.434467642677191e-07,1,-0.0,0.0,True,False
5,0.0,0,1.3934280786997988e-06,1,-0.0,0.0,True,False
6,0.0,0,1.3934280786997988e-06,1,-0.0,0.0,True,False
7,0.0,0,9.498429562881938e-07,1,-0.0,0.0,True,False
8,0.0,0,9.498429562881938e-07,1,-0.0,0.0,True,False
9,0.0,0,9.466380106459837e-07,1,-0.0,0.0,True,False
10,0.0,0,9.466380106459837e-07,1,-0.0,0.0,True,False
11,0.0,0,9.318519005319104e-07,1,-0.0,0.0,True,False
12,0.0,0,9.318519005319104e-07,1,-0.0,0.0,True,False
13,0.0,0,9.506786682322854e-07,1,-0.0,0.0,True,False
14,0.0,0,9.506786682322854e-07,1,-0.0,0.0,True,False
15,0.0,0,9.506786682322854e-07,1,-0.0,0.0,True,False
16,0.0,0,9.506786682322854e-07,1,-0.0,0.0,True,False
17,0.0,0,9.534608693684277e-07,1,-0.0,0.0,True,False
18,0.0,0,9.534608693684277e-07,1,-0.0,0.0,True,False
19,0.0,0,9.466728556617454e-07,1,-0.0,0.0,True,False
20,0.0,0,9.466728556617454e-07,1,-0.0,0.0,True,False
21,0.0,0,9.467394761486503e-07,1,-0.0,0.0,True,False
22,0.0,0,9.467394761486503e-07,1,-0.0,0.0,True,False
23,0.0,0,1.170781729342707e-06,1,-0.0,0.0,True,False
24,0.0,0,1.170781729342707e-06,1,-0.0,0.0,True,False
25,0.0,0,9.466546089242911e-07,1,-0.0,0.0,True,False
26,0.0,0,9.466546089242911e-07,1,-0.0,0.0,True,False
27,0.0,0,1.156343842012575e-06,1,-0.0,0.0,True,False
28,0.0,0,1.156343842012575e-06,1,-0.0,0.0,True,False
29,0.0,0,9.432291108169011e-07,1,-0.0,0.0,True,False
30,0.0,0,9.432291108169011e-07,1,-0.0,0.0,True,False
31,0.0,0,9.465967423238908e-07,1,-0.0,0.0,True,False
32,0.0,0,9.465967423238908e-07,1,-0.0,0.0,True,False
33,0.0,0,9.465967423238908e-07,1,-0.0,0.0,True,False
34,0.0,0,9.465967423238908e-07,1,-0.0,0.0,True,False
35,0.0,0,9.46697525705531e-07,1,-0.0,0.0,True,False
36,0.0,0,9.46697525705531e-07,1,-0.0,0.0,True,False
37,0.0,0,9.467389077144617e-07,1,-0.0,0.0,True,False
38,0.0,0,9.467389077144617e-07,1,-0.0,0.0,True,False
39,0.0,0,9.503693831902638e-07,1,-0.0,0.0,True,False
40,0.0,0,9.503693831902638e-07,1,-0.0,0.0,True,False
41,0.0,0,1.156339749286417e-06,1,-0.0,0.0,True,False
42,0.0,0,1.156339749286417e-06,1,-0.0,0.0,True,False
43,0.0,0,9.497648534306791e-07,1,-0.0,0.0,True,False
44,0.0,0,9.497648534306791e-07,1,-0.0,0.0,True,False
45,0.0,0,9.465966286370531e-07,1,-0.0,0.0,True,False
46,0.0,0,9.465966286370531e-07,1,-0.0,0.0,True,False
